date,bcpr,bcpr_pct_change
2016-01,4.54422626463992,
2016-02,5.346508094645081,0.17654971017794008
2016-03,8.14598362689159,0.5236082098239763
2016-04,7.818762962962963,-0.040169570541291444
2016-05,8.645191834727004,0.10569816167580326
2016-06,8.905970957420625,0.03016464269145458
2016-07,8.66114846625767,-0.027489702395555704
2016-08,11.405182926829267,0.3168210857095777
2016-09,11.679177446912375,0.02402368483179429
2016-10,10.963419638495358,-0.06128495021764069
2016-11,9.84778801843318,-0.1017594561595464
2016-12,8.17590721399077,-0.16977221700070788
2017-01,6.676209933075026,-0.1834288528066259
2017-02,5.131033591731266,-0.23144513980734882
2017-03,5.752570558613421,0.12113289764537316
2017-04,5.847780882524159,0.01655091805317843
2017-05,6.41281595163353,0.09662384423430681
2017-06,7.016753307031793,0.09417662380352931
2017-07,6.972997104806022,-0.0062359613215874354
2017-08,7.306105796934425,0.047771236259199545
2017-09,6.9471329466621174,-0.04913326746827684
2017-10,7.104788638633085,0.022693633932357127
2017-11,6.886125097038927,-0.030776924228984148
2017-12,6.7086865538735525,-0.0257675457045754
2018-01,6.473055370246832,-0.03512329600354758
2018-02,6.375830985915493,-0.01501985982975329
2018-03,6.4566456480126115,0.01267515752466486
2018-04,6.589764586618608,0.020617352393649035
2018-05,6.6520063191153245,0.009445213357561544
2018-06,6.66402981703185,0.0018074994730499228
2018-07,6.81780283286119,0.02307507920152596
2018-08,6.686886417791898,-0.01920214155186284
2018-09,6.301094657705889,-0.05769378092912236
2018-10,6.315915444936924,0.0023520972205852697
2018-11,5.89660693905501,-0.06638918926915771
2018-12,5.900606546120394,0.0006782895836066061
2019-01,5.694470141525716,-0.03493478220984092
2019-02,5.669972401103956,-0.004302022806848327
2019-03,6.012197903467342,0.06035752524946236
2019-04,6.806344086021506,0.13208916195126652
2019-05,7.504939967674902,0.10263893109490807
2019-06,7.899783620288505,0.05261116735300542
2019-07,9.924889534883722,0.25634954220698747
2019-08,11.174228412900243,0.12587937363185553
2019-09,13.073839368616527,0.16999929530017943
2019-10,14.73052164528121,0.1267173498124441
2019-11,14.035827830471845,-0.0471601638786433
2019-12,13.805639793343746,-0.01640003282373992
2020-01,13.002722897364938,-0.058158615464234065
2020-02,13.997553948161544,0.0765094402648705
2020-03,17.181776061776063,0.2274841822654834
2020-04,22.31293474342026,0.2986395971636122
2020-05,26.549495735072753,0.1898701824914264
2020-06,26.248924918932403,-0.011321149717479773
2020-07,23.500634802091113,-0.10470105443667321
2020-08,21.401414767096135,-0.08932609917448642
2020-09,27.77129692510847,0.2976383677122967
2020-10,25.556179939865856,-0.07976282098802134
2020-11,23.942331710333104,-0.06314904001028976
2020-12,23.405430974612237,-0.0224247471890614
2021-01,21.563756735950733,-0.07868576488333667
2021-02,21.443158339738662,-0.005592643141397069
2021-03,21.675544751550415,0.010837322008721673
2021-04,18.802700267277586,-0.13253851366606784
2021-05,16.764476655477573,-0.10840057985432772
2021-06,15.567721875475721,-0.07138634892075968
2021-07,14.197982222897517,-0.08798587638798927
2021-08,14.578194486519237,0.026779316782672202
2021-09,14.32053726825577,-0.017674151521419823
2021-10,13.902219696969697,-0.029211024939221675
2021-11,13.054945829229489,-0.06094522214498532
2021-12,12.008658582796514,-0.08014489375286271
2022-01,10.4998168609051,-0.12564615035795645
2022-02,8.898593667346784,-0.1525001068847488
2022-03,8.512016233027383,-0.043442531344917934
2022-04,7.6560552687518975,-0.10055913203669431
2022-05,7.183835699643156,-0.06167922677310078
2022-06,6.809695681869925,-0.052080814959592714
2022-07,6.105318776628119,-0.10343735434714552
2022-08,6.054439113548092,-0.008333661998911501
2022-09,5.358012332521316,-0.11502746463638125
2022-10,4.937518860016764,-0.0784793775020447
